"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"MEGF10"	0.277753379604968	6.92890607125414	6.69530525149705	0.0184819045538388	1
"TBX2"	-0.436141628788105	4.99593073864094	6.60402012190972	0.0191829025196709	1
"FAT2"	-2.101359361028	1.76321503846166	6.54035932743987	0.0196895787367022	1
"PI15"	-1.47869570627718	3.34220067215014	6.51515193838539	0.0198943777021946	1
"NR4A1"	-0.587057369509926	6.09056422746402	6.50300204252982	0.0199939508617741	1
"YOD1"	3.7367723661776	1.56581735667989	6.4656139272797	0.0203039190762594	1
"TNFAIP3"	-1.11638769818013	3.87390328557175	6.44431271508368	0.0204829494805331	1
"SCUBE3"	-0.861937443091394	2.98251818831827	6.43379939424053	0.0205719693279252	1
"P4HA1"	0.750687885399564	4.83360203721084	6.42557822830966	0.020641886080868	1
"BTG2"	-0.616426382321382	6.46687463343746	6.40993715588946	0.0207756497400692	1
"BCAM"	-0.7227687500779	3.4105427698461	6.40489756868506	0.0208189576201273	1
"FYB1"	0.997023633413463	4.38126539640707	6.37224622138616	0.0211020386676439	1
"IKZF5"	0.431144808648862	5.60356041200696	6.36455131581695	0.021169385376791	1
"RNF208"	-0.7189180561835	2.99328955930152	6.28369111311819	0.0218920072183775	1
"NOTCH1"	0.737751904789356	3.29736556226156	6.26825565912692	0.022033104372542	1
"ZNF281"	0.311074091147797	5.39839975469069	6.25524616692912	0.0221528264716582	1
"BGN"	-0.540961107362725	6.74974986355768	6.22558975002457	0.0224285118038865	1
"PHLDB2"	-0.535660892060917	4.12567125265002	6.20769083335364	0.0225967812843782	1
"TLR4"	0.330370922534735	5.9249003247192	6.13643176699398	0.0232810404974908	1
"ANKRD65"	-0.367885504724158	5.32715543530915	6.0679664869372	0.0239606926660931	1
"ENPEP"	-0.893627457703943	2.32849376287445	6.03333728318972	0.0246057560870688	1
"HHLA2"	2.97816130606849	1.34288158743426	6.42069728874208	0.024731214248323	1
"AGAP11"	-0.788985113236545	2.57470941689213	7.45344096948561	0.0248334061361821	1
"CXCL2"	-1.45633983258995	2.86151915571172	5.96845176361514	0.0249891086576904	1
"PKD1P4"	-0.581998593914154	4.88435021404995	5.95632921713131	0.0251177768331107	1
"DDR2"	0.351397609995187	6.42129537127151	5.93604209146788	0.0253347902100388	1
"RRAS"	-0.402564999382743	4.44396657601743	5.9237079491722	0.025467770352491	1
"BZW1P2"	1.66281316061426	1.74323430062361	5.90454386891734	0.0256759631971216	1
"DCAF17"	0.303026883334764	5.05220561559865	6.0512140254514	0.0258289993636808	1
"ACTN1"	-0.44172121079316	5.81018166810793	5.88785877510719	0.0258588004701568	1
"ABCB1"	-0.426430881136252	4.44214461090594	5.85872119947275	0.0261816520394439	1
"CALD1"	-0.546808855892084	7.94523739529175	5.85708206737637	0.0261999496520559	1
"ANOS2P"	2.37111814129634	1.21193701553454	53.1972831772909	0.0262012707138035	1
"ZC3H12C"	0.332692328908237	4.91964783556003	5.80245901803027	0.0268180984256547	1
"LAMA5"	-0.406707614674467	6.40133356770712	5.7978258286436	0.0268712886521979	1
"MOXD1"	1.11210566660593	2.12483331179019	11.9870557955312	0.0269290002783265	1
"EIF1AX"	-0.273206602320982	7.32852476901351	5.79039946553692	0.0269567955934191	1
"FBLIM1"	-0.687847164111617	3.92481783610975	5.78712504201581	0.0269945954391254	1
"PCBP3"	-0.41025093384939	4.32958262213064	5.76121318601118	0.0272958554722207	1
"MYL9"	-0.878329671429966	7.25315502826275	5.7548617348755	0.0273702817179588	1
"C21orf62"	0.609795387742289	3.28115936190998	8.77962241993336	0.027397395407829	1
"CAVIN2"	0.56209810493019	4.96350093837523	5.69310048859409	0.0281061589098266	1
"ZNF337"	0.294178313910197	5.2423652393687	5.68046829340154	0.0282594270415486	1
"ERAP1"	0.33166008341859	5.41502383417264	5.65618334336865	0.0285567583888185	1
