"ensembl_id","hgnc_symbol","GSM5144785","GSM5144786","GSM5144787","GSM5144788","GSM5144789","GSM5144790","GSM5144791","GSM5144792","GSM5144793","GSM5144794","GSM5144795","GSM5144796","GSM5144797","GSM5144798","GSM5144799","GSM5144800"
"ENST00000448838.7",NA,157.405537328478,55.0300606790106,122.882747381915,64.0907634856119,55.4941756246694,104.703496853491,110.21916866402,130.917803543834,128.995175179378,72.1373167003239,88.8953451683992,43.1391646964675,63.2186142565442,70.8542345733391,80.5220353646787,30.0285797549104
"ENST00000448843.6",NA,10.0812366344241,19.0880032272132,0,6.41794563733991,20.1739125160871,0,10.7850310860894,36.1980458282943,28.2442918623769,2.82700984089697,3.41950164345995,2.42877328680922,38.7587729238823,20.6945576749053,5.99256444904737,20.0147465326939
"ENST00000448866.6",NA,282.523069027711,126.434391782827,104.827630590057,193.348467058441,333.594007114294,185.701748499755,142.251579596988,189.778230415157,219.442992513743,163.013037004861,108.33816396559,230.367946334058,237.122516239688,155.905102472308,239.543857917769,156.211694032849
"ENST00000448880.5",NA,1.55487638113579,0.868877148315506,0,1.92912751441078,1.03490125547803,0,0.810840292559396,0.771551909593766,0.845324621690838,0,1.07806596361878,2.42449266207729,0.830109232780796,2.84913332718847,0.873460516434013,2.76930244261253
"ENST00000448890.1",NA,0,0,0,2.57020937386549,0,0,0,0,0,0,0,0,0,2.59703319597615,0,2.03400564283937
"ENST00000448903.6",NA,0,407.684159110612,472.925223442435,771.592254725278,0,0,423.199092951669,434.342545246915,1386.70555862601,0,2.00561048083381,0,0,83.3965899817508,184.063522729805,102.040250011687
"ENST00000448918.2",NA,1.70999190244155,0,4.35284693224996,0,1.17620395400145,5.02531675979199,1.95627283792811,2.74903954283837,2.76651146391224,0,2.16479834986085,0,2.61775981339445,0,0,1.81521521298285
"ENST00000448930.5",NA,0,7.07337857352057,0,0,0,0,0,0,6.43031761748246,0,0,0,0,6.0759681091218,3.07717030489806,0
"ENST00000448932.4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000448951.5",NA,3.99419407339546,2.12078421717604,0,1.97616261880224,0,2.33279240873931,1.94447269948244,4.17033380713671,3.72283371985033,0,5.39955598665905,1.95760429449026,0,2.03208286895087,0,1.87433146156442
"ENST00000448979.3",NA,45.5029843521203,60.1010435709118,75.8480816849474,114.565749838706,50.5856439236703,74.5154463029107,104.427478321234,78.2283555857621,88.2158521768669,109.554234529164,72.7599153984492,123.839977209322,115.219990890203,90.6762671724635,187.305512959056,113.296319025912
"ENST00000448991.5",NA,0,0,0,0,0,1.256329189948,2.24971376361768,0,0,0,0,0,0,0,0,0
"ENST00000449003.5",NA,88.4277491926642,95.1162554999067,74.3228762926393,93.3314731455859,100.605481666362,89.4337697256801,105.140750983373,99.6097543854899,156.486909556764,155.984432983227,108.646982730814,117.204395025454,127.565272904691,122.12270792108,109.893082537948,119.751878429074
"ENST00000449047.6",NA,33.0632701897173,5.75450228993437e-08,0.00024190555207028,124.105777560728,195.672203135122,84.2813252378548,29.3735960518185,0.00422719103744775,0,0,1.91501588490991,43.7394885663112,86.4546181549122,8.72483042081664,0,0
"ENST00000449061.2",NA,35.3360586355596,18.0801081465655,22.2693948344762,13.7336810765301,26.5928008688052,12.9537919861266,2.18318682569944,42.5548495304637,27.1322792892349,14.7494533955859,0,21.7010323495623,31.4461666745499,30.0867221119,30.0466906395363,29.8388567990868
"ENST00000449070.5",NA,0,9.01264556766742,14.6024989673206,0,0,0,13.903231573653,2.5406695657209,7.25397050765914,0,0,2.13337975933662,0,2.81346060824109,2.32941715936937,0
"ENST00000449085.3",NA,3.13619471605335,0,0,1.28611498301298e-05,0,470.539206117599,0,8.27832786132984,0,3.85290832129766,0,0,0,364.189811144704,0,270.241814888368
